ID;RESOURCE;PROPERTY;VOICEOVER;KEY;BR;CZ;RU;AR;TR;CN;PL;IT;FR;DE;ZH;ESMX;EN;KR;ES;JP;HU
2116723611;"CStoryScene ""dlc\dlcsted\data\scenes\sted_04a_ask_yen.w2scene""";Line text;YENN_STED_2116723611;;Eu adorei.;Podoba mi się to.;Мне это нравится.;أحب هذا.;Bu yanını seviyorum.;我喜欢。;Podoba mi się to.;Mi piace.;J'aime ça.;Ich liebe es.;我喜欢它。;Me gusta.;I love this.;좋아요.;Me gusta.;そういうところは好きよ。;tetszik.
2116723612;"CStoryScene ""dlc\dlcsted\data\scenes\sted_04a_ask_yen.w2scene""";Line text;YENN_STED_2116723612;;Mas de onde vem essa ideia louca?;Ale skąd ten szalony pomysł?;Но откуда ты взял эту безумную идею?;ولكن من أين تأتي هذه الفكرة المجنونة؟;Ama bu çılgınca fikir nereden geliyor?;但是这个疯狂的想法从何而来呢？;Ale skąd ten szalony pomysł?;Ma da dove nasce questa folle idea?;Mais d'où te vient cette idée saugrenue ?;Doch woher kommt diese waghalsige Idee?;但这个疯狂的想法从何而来？;¿Pero de dónde surgió esta loca idea?;But where does this crazy idea comes from?;그런데 이 미친 아이디어는 어디서 나온 걸까요?;¿Pero de dónde surgió esta loca idea?;でもそんな突拍子もない考えはどこから来たの？;De honnan jött ez az őrült ötlet?
2116723613;"CStoryScene ""dlc\dlcsted\data\scenes\sted_04a_ask_yen.w2scene""";Line text;GRLT_STED_2116723613;;Esse demônio matou uma amiga próxima, do Dandelion e de mim,;Ten demon zabił przyjaciółkę Jaskra oraz moją,;Этот демон убил дорогого нам с Лютиком друга,;قتل هذا الشيطان صديقًا عزيزًا لي وأنا الهندباء ،;Bu cin, Dandelion ve benim değerli bir arkadaşımızı öldürdü.;这个恶魔杀死了丹德里恩和我的一个好朋友，;Ten demon zabił przyjaciółkę Jaskra oraz moją,;Questo demone ha ucciso un caro amico mio e di Jaskier,;Ce démon a tué une amie chère à Jaskier et moi,;Dieser Dämon hat eine liebe Freundin von Rittersporn und mir getötet;这个恶魔杀死了我和贾斯基尔的一位好朋友，;Este demonio mató a un querido amigo mío y de Jaskier.;This demon killed a dear friend of Dandelion and me,;이 악마는 Jaskier와 나의 소중한 친구를 죽였습니다.;Este demonio mató a un querido amigo mío y de Jaskier.;この悪魔はダンディリオンと俺の友人を殺したんだ。;Ez a démon megölte Jaskier és én kedves barátját,
2116723614;"CStoryScene ""dlc\dlcsted\data\scenes\sted_04a_ask_yen.w2scene""";Line text;GRLT_STED_2116723614;;chamada Essi Daven.;Nazywała się Essi Daven.;которую звали Эсси Давен.;اسمه Essi Daven.;Essi Daven adında.;她名叫艾希·达文。;Nazywała się Essi Daven.;chiamato Essi Daven.;nommée Essi Daven.;genannt Essi Daven.;名叫埃西·达文。;llamado Essi Daven.;named Essi Daven.;이름은 Essi Daven입니다.;llamado Essi Daven.;名前はエッシ・ダヴェン;Essi Daven néven.
2116723615;"CStoryScene ""dlc\dlcsted\data\scenes\sted_04a_ask_yen.w2scene""";Line text;YENN_STED_2116723615;;Eu ouvi falar dela.;Słyszałam o niej.;Я слышала о ней.;سمعت عنها.;Onun adını duydum.;我听说过她。;Słyszałam o niej.;Ho sentito parlare di lei.;J'ai entendu parler d'elle.;I habe von ihr gehört.;我听说过她。;Escuché sobre ella.;I heard about her.;나는 그녀에 대해 들었습니다.;Escuché sobre ella.;私は彼女について聞いたことがあるわ。;hallottam róla.
2116723616;"CStoryScene ""dlc\dlcsted\data\scenes\sted_04a_ask_yen.w2scene""";Line text;YENN_STED_2116723616;;Mas eu não sabia que vocês eram amigos.;Ale nie wiedziałam, że byliście przyjaciółmi.;Но я не знала, что вы были друзьями.;لكن لم أكن أعرف أنكما كنتم أصدقاء.;Ama arkadaş olduğunuzu bilmiyordum.;但我不知道你们曾经是朋友。;Ale nie wiedziałam, że byliście przyjaciółmi.;Ma non sapevo che foste amici.;Mais je ne savais pas que vous aviez été amis.;Aber mir war nicht klar, dass ihr befreundet seid.;但我不知道你们曾经是朋友。;Pero no sabía que habían sido amigos.;But I didn't know you had been friends.;하지만 당신이 친구였는지는 몰랐어요.;Pero no sabía que habían sido amigos.;でもあなたが友人だったのは知らなかった。;De nem tudtam, hogy barátok voltatok.
2116723617;"CStoryScene ""dlc\dlcsted\data\scenes\sted_04a_ask_yen.w2scene""";Line text;GRLT_STED_2116723617;;Eu a encontrei enquanto ajudava o Duque Agloval de Bremerwoord.;Spotkałem ją, pomagając księciu Aglovalowi z Bremerwood.;Я встретил её, когда помогал князю Агловалю Бремервоордскому.;التقيت بها بينما كنت أساعد دوق أغلوفال بريميرورد.;Onunla Bremerwoord Dükü Agloval'a yardım ederken tanıştım.;我是在帮助布利姆巫德的艾格罗瓦尔公爵时认识她的。;Spotkałem ją, pomagając księciu Aglovalowi z Bremerwood.;L'ho incontrata mentre aiutavo il duca Agloval di Bremerwoord.;Je l'ai rencontrée alors que j'aidais le duc Agloval de Bremerwoord.;Ich traf sie, als ich Herzog Agloval von Bremervoord half.;我在帮助布雷默伍德公爵阿格洛瓦尔时认识了她。;La conocí mientras ayudaba al duque Agloval de Bremerwoord.;I met her while helping Duke Agloval of Bremerwoord.;Bremerwood의 Duke Agloval을 도우면서 그녀를 만났습니다.;La conocí mientras ayudaba al duque Agloval de Bremerwoord.;ブレメルヴルドのアグロヴァル公爵の仕事をしたときに彼女と出会った。;Akkor ismertem meg, amikor segítettem Bremerwood Agloval hercegnek.
2116723618;"CStoryScene ""dlc\dlcsted\data\scenes\sted_04a_ask_yen.w2scene""";Line text;GRLT_STED_2116723618;;Eu dei a Essi uma Pérola Azul Celeste…;Dałem Essi błękitną perłę…;Я подарил Эсси небесно-голубую жемчужину…;أعطيت Essi لؤلؤة السماء الزرقاء ...;Essi'ye gök mavisi bir inci vermiştim...;我给了艾希一颗天蓝色的珍珠…;Dałem Essi błękitną perłę…;Ho regalato a Essi una perla azzurra...;J'avais offert à Essi une perle azur...;Ich gab Essi eine himmelsblaue Perle...;我给了埃西一颗蓝色的珍珠......;Le regalé a Essi una perla azul...;I had given Essi a sky blue pearl…;에시에게 하늘색 진주를 줬는데...;Le regalé a Essi una perla azul...;俺はエッシに空色の真珠を贈ったんだ...。;Adtam Essinek egy azúrkék gyöngyöt...
2116723619;"CStoryScene ""dlc\dlcsted\data\scenes\sted_04a_ask_yen.w2scene""";Line text;YENN_STED_2116723619;;Me poupe dos detalhes do seu encontro com aquela barda, por favor.;Oszczędź mi szczegółów spotkania z nią, proszę.;Избавь меня, пожалуйста, от подробностей твоего знакомства с этим бардом.;اعفيني من تفاصيل لقائك مع هذا الشاعر من فضلك.;O ozanla karşılaşmanızın ayrıntılarını bana anlat lütfen.;请别告诉我你和那个吟游诗人相遇的细节。;Oszczędź mi szczegółów spotkania z nią, proszę.;Risparmiami i dettagli del tuo incontro con questo bardo, per favore.;Epargne-moi les détails de ta rencontre avec cette barde je te prie.;Erspare mit die Details dieser Begegnung mit der Bardin, bitte.;请告诉我你与这位吟游诗人会面的细节。;Ahórrame los detalles de tu encuentro con este bardo, por favor.;Spare me the details of your encounter with that bard, please.;이 음유시인과의 만남에 대한 자세한 내용을 알려주시기 바랍니다.;Ahórrame los detalles de tu encuentro con este bardo, por favor.;その吟遊詩人との出会いの詳細は省いて、お願い。;Kímélj meg engem a bárddal való találkozásod részleteitől, kérlek.
2116723620;"CStoryScene ""dlc\dlcsted\data\scenes\sted_04a_ask_yen.w2scene""";Line text;YENN_STED_2116723620;;Ainda que eu seja uma feiticeira poderosa, derrotar um demônio está um pouco além das minhas habilidades.;Chociaż jestem potężną czarodziejką, pokonanie demona wykracza poza moje umiejętności.;Хотя я и сильная чародейка, убить демона не под силу даже мне.;بالرغم من أنني ساحرة قوية ، إلا أن هزيمة الشيطان تفوق مهاراتي.;Güçlü bir büyücü olmama rağmen, bir cini yenmek benim becerilerimin ötesinde.;虽然我是一个强大的女术士，但打败一个恶魔还是超出了我的能力。;Chociaż jestem potężną czarodziejką, pokonanie demona wykracza poza moje umiejętności.;Anche se sono un mago potente, sconfiggere un demone va oltre le mie capacità.;Bien que je sois une puissante magicienne, venir à bout d'un démon est au-delà de mes compétences.;Obwohl ich eine durchaus mächtige Zauberin bin, übersteigt es meine Fähigkeiten einen Dämonen zu besiegen.;虽然我是一名强大的魔法师，但打败恶魔却超出了我的能力范围。;Aunque soy un mago poderoso, derrotar a un demonio está más allá de mis habilidades.;Although I am a powerful sorceress, defeating a demon is beyond my skills.;나는 강력한 마술사지만, 마물을 쓰러뜨리는 것은 내 능력 밖의 일이다.;Aunque soy un mago poderoso, derrotar a un demonio está más allá de mis habilidades.;確かに私は強力な女魔術師だけれども、悪魔は私の手に余るわ。;Bár erős bűvész vagyok, egy démon legyőzése meghaladja a képességeimet.
2116723621;"CStoryScene ""dlc\dlcsted\data\scenes\sted_04a_ask_yen.w2scene""";Line text;YENN_STED_2116723621;;Eu preferi desenvolver meu conhecimento em outras matérias, do que na exterminação de demônios.;Wolałabym poszerzać swoją wiedzę na inne tematy, niż dowiadywać się jak zabijać demony.;Я предпочитаю развивать свои знания по другим направлениям, а не по истреблению демонов.;فضلت تطوير معرفتي حول مواضيع أخرى غير إبادة الشياطين.;Cinlerin yok edilmesindense, başka konularda kendimi geliştirmeyi tercih ettim.;比起消灭恶魔，我更愿意在其他方面扩展我的知识。;Wolałabym poszerzać swoją wiedzę na inne tematy, niż dowiadywać się jak zabijać demony.;Ho preferito sviluppare le mie conoscenze su argomenti diversi dallo sterminio dei demoni,;J'ai préféré développer mes connaissances sur d'autres sujets que l'extermination de démons,;Ich zog es bisher vor, mein Wissen in anderen Themenbereichen als der Ausrottung von Dämonen auszubauen.;我更喜欢发展除魔以外的知识，;Preferí desarrollar mis conocimientos en temas distintos al exterminio de demonios,;I preferred to develop my knowledge on other subjects than the extermination of demons.;나는 악마를 퇴치하는 것보다 다른 주제에 대한 지식을 발전시키는 것을 더 좋아했습니다.;Preferí desarrollar mis conocimientos en temas distintos al exterminio de demonios,;悪魔退治よりも、他のテーマで知識を深める方が好きだったし。;Inkább a démonok kiirtásán kívül más témákban fejlesztem tudásomat,
2116723622;"CStoryScene ""dlc\dlcsted\data\scenes\sted_04a_ask_yen.w2scene""";Line text;YENN_STED_2116723622;;Se você entende o que eu quis dizer…;Jeśli wiesz co mam na myśli…;Если ты понимаешь, что я имею в виду…;إذا رأيت ما أعنيه ...;Ne demek istediğimi anlıyorsundur…;如果你明白我的意思…;Jeśli wiesz co mam na myśli…;se sai cosa voglio dire...;si tu vois ce que je veux dire...;Wenn du verstehst, was ich meine...;如果你明白我的意思...;Si sabes a lo que me refiero...;If you see what I mean…;내 말이 무슨 뜻인지 아신다면...;Si sabes a lo que me refiero...;もしあなたが私の言ってることを理解しているなら...。;ha érted mire gondolok...
2116723623;"CStoryScene ""dlc\dlcsted\data\scenes\sted_04a_ask_yen.w2scene""";Line text;YENN_STED_2116723623;;Não posso garantir que encontrarei uma maneira de matar um demônio.;Nie mogę zagwarantować, że znajdę sposób na zabicie go.;Я не могу гарантировать, что найду способ убить демона.;لا أستطيع أن أضمن أنني سأجد طريقة لقتل الشيطان.;Bir cini öldürmenin bir yolunu bulacağımı garanti edemem.;我不能保证我能找到杀死恶魔的方法。;Nie mogę zagwarantować, że znajdę sposób na zabicie go.;Non posso garantire che troverai un modo per uccidere un demone.;Je ne peux te garantir de trouver un moyen de tuer un démon.;Ich kann nicht garantieren, dass ich einen Weg finden werde, einen Dämon zu töten.;我不能保证你能找到杀死恶魔的方法。;No puedo garantizar que encuentres una manera de matar a un demonio.;I can't guarantee I'll find a way to kill a demon.;나는 당신이 악마를 죽일 방법을 찾을 것이라고 보장할 수 없습니다.;No puedo garantizar que encuentres una manera de matar a un demonio.;私が悪魔退治の方法を見つけることができるとは限らない。;Nem tudom garantálni, hogy megtalálja a módját, hogy megöljön egy démont.
2116723624;"CStoryScene ""dlc\dlcsted\data\scenes\sted_04a_ask_yen.w2scene""";Line text;YENN_STED_2116723624;;Ainda assim, eu deveria ser capaz de te ensinar a como impedí-lo de machucar alguém por alguns séculos.;Jednak powinnam być w stanie powiedzieć ci, jak sprawić, by przez kilka stuleci nikomu nie zaszkodził.;Однако я смогу придумать, как заставить его оставаться в стороне от причинения вреда кому-либо в течение нескольких столетий.;ومع ذلك ، يجب أن أكون قادرًا على إخبارك بكيفية منعه من إيذاء أي شخص لعدة قرون.;Ancak, birkaç yüzyıl boyunca kimseye zarar vermesini nasıl engelleyeceğini sana anlatabilirim.;然而，我应该可以告诉你如何在几个世纪内不让它伤害任何人。;Jednak powinnam być w stanie powiedzieć ci, jak sprawić, by przez kilka stuleci nikomu nie zaszkodził.;Tuttavia, dovrei essere in grado di dirti come evitare che faccia danni per qualche secolo.;Toutefois, je devrais pouvoir t'indiquer comment l'empêcher de nuire durant quelques siècles.;Allerdings kann ich dir wohl sagen, wie du verhindern kannst, dass es für ein paar Jahrhunderte jemandem schadet.;不过，我应该能够告诉你如何在几个世纪内防止它造成伤害。;Sin embargo, debería poder decirte cómo evitar que haga daño durante algunos siglos.;However, I should be able to tell you how to keep it from harming anybody for a few centuries.;하지만 몇 세기 동안 해를 끼치는 것을 방지하는 방법을 알려드릴 수는 있을 것입니다.;Sin embargo, debería poder decirte cómo evitar que haga daño durante algunos siglos.;しかし、数世紀の間誰にも害を与えないように封印する方法はあなたに教えることができるはず。;Azt azonban el kell mondanom, hogyan akadályozhatja meg, hogy néhány évszázadig kárt okozzon.
2116739808;"CStoryScene ""dlc\dlcsted\data\scenes\sted_fake_gp_scene.w2scene""";Line text;????_STED_2116732411;;;;;;;;;;;;;;;;;;
2116723625;"CStoryScene ""dlc\dlcsted\data\scenes\sted_04a_ask_yen.w2scene""";Line text;YENN_STED_2116723625;;Mas pra isso vou precisar de um pouco de tempo para estudar a questão.;Ale potrzebuję trochę czasu, by się nad tym zastanowić.;Но для этого мне понадобится немного времени, чтобы изучить вопрос.;لكن من أجل ذلك سأحتاج إلى بعض الوقت لدراسة السؤال.;Ama bu sorunu düşünmek için biraz zamana ihtiyacım olacak.;但是为此，我需要一点时间来研究这个问题。;Ale potrzebuję trochę czasu, by się nad tym zastanowić.;Ma per questo avrò bisogno di un po’ di tempo per studiare la questione.;Mais pour cela il va me falloir un peu de temps pour étudier la question.;Aber dafür brauche ich ein wenig Zeit, um die Frage zu studieren.;但为此我需要一点时间来研究这个问题。;Pero para eso necesitaré un poco de tiempo para estudiar la cuestión.;But for that I will need a little time to study the question.;하지만 그러기 위해서는 그 질문을 연구할 시간이 조금 필요할 것입니다.;Pero para eso necesitaré un poco de tiempo para estudiar la cuestión.;しかし、そのためには少し時間をかけて研究する必要がある。;Ehhez azonban szükségem lesz egy kis időre, hogy áttanulmányozzam a kérdést.
2116723626;"CStoryScene ""dlc\dlcsted\data\scenes\sted_04a_ask_yen.w2scene""";Line text;YENN_STED_2116723626;;Eu provavelmente terei que pegar alguns livros antigos.;Będę też musiała przestudiować stare księgi i manuskrypty.;Вероятно мне понадобятся некоторые древние книги.;ربما سأضطر أيضًا للذهاب للحصول على كتب قديمة.;Muhtemelen gidip eski kitapları incelemem gerekecek.;我可能还得去寻找一些古籍。;Będę też musiała przestudiować stare księgi i manuskrypty.;Probabilmente dovrò anche andare a prendere qualche vecchio libro.;Je vais probablement également devoir aller me procurer des ouvrages anciens.;Es wird wohl auch nötig sein, dass ich einige alte Bücher auftreibe.;我可能还得去买一些旧书。;Probablemente también tendré que ir a buscar algunos libros viejos.;I will probably also have to go and get ancient books.;나도 가서 오래된 책을 좀 사야 할 것 같다.;Probablemente también tendré que ir a buscar algunos libros viejos.;おそらく、年代物の書物も取りに行くことになるでしょうね。;Valószínűleg nekem is el kell mennem néhány régi könyvért.
2116723627;"CStoryScene ""dlc\dlcsted\data\scenes\sted_04a_ask_yen.w2scene""";Line text;GRLT_STED_2116723627;;Como eu posso te ajudar?;Jak mogę ci pomóc?;Чем я могу тебе помочь?;كيف يمكنني مساعدتك؟;Sana nasıl yardımcı olabilirim?;我能帮你什么忙吗？;Jak mogę ci pomóc?;Come posso aiutarla?;Comment puis-je t'aider ?;Wie kann ich dir helfen?;我怎么帮你？;¿Le puedo ayudar en algo?;How can I help you?;어떻게 도와드릴까요?;¿Le puedo ayudar en algo?;俺は何をしたらいい？;Miben segíthetek?
2116723628;"CStoryScene ""dlc\dlcsted\data\scenes\sted_04a_ask_yen.w2scene""";Line text;YENN_STED_2116723628;;Eu não sei muito sobre demônios,;Niewiele wiem o demonach,;Я немного знаю о демонах,;لا أعرف الكثير عن الشياطين ،;Cinler hakkında pek bir şey bilmiyorum,;我不太了解恶魔，;Niewiele wiem o demonach,;So poco dei demoni,;Je m'y connais peu en démons,;Ich weiß nicht viel über Dämonen,;我对恶魔知之甚少;Sé poco sobre los demonios,;I don't know much about demons,;나는 악마에 대해 아는 바가 거의 없다.;Sé poco sobre los demonios,;私は悪魔についてはあまり詳しくない、;Keveset tudok a démonokról,
2116723629;"CStoryScene ""dlc\dlcsted\data\scenes\sted_04a_ask_yen.w2scene""";Line text;YENN_STED_2116723629;;mas a necromancia não me é estranha.;ale nekromancja nie jest mi obca.;но некромантия мне не чужда.;لكن استحضار الأرواح ليس غريباً بالنسبة لي.;ama büyücülük benim usatalık alanım.;但我对死灵法术并不陌生。;ale nekromancja nie jest mi obca.;ma la negromanzia non mi è estranea.;mais la nécromancie ne m'est pas étrangère.;aber Nekromantie ist mir nicht fremd.;但死灵术对我来说并不陌生。;pero la nigromancia no me es ajena.;but necromancy is no stranger to me.;하지만 강령술은 나에게 낯설지 않습니다.;pero la nigromancia no me es ajena.;でも、黒魔術については専門外ではないわ。;de a nekromancia nem idegen tőlem.
2116723630;"CStoryScene ""dlc\dlcsted\data\scenes\sted_04a_ask_yen.w2scene""";Line text;YENN_STED_2116723630;;apesar de ainda não saber exatamente como fazer isso,;Chociaż nie wiem jeszcze dokładnie jak się do tego zabrać;Хотя я пока точно не знаю, как это сделать,;على الرغم من أنني لا أعرف بالضبط كيفية القيام بذلك حتى الآن ،;Tam olarak nasıl yapacağımı henüz bilmesem de,;虽然我还不知道具体该怎么做，;Chociaż nie wiem jeszcze dokładnie jak się do tego zabrać;Anche se non so ancora esattamente come procedere,;Même si je ne sais pas encore exactement comment il faudra s'y prendre,;Und obwohl ich noch nicht genau weiß, wie ich es anstellen soll,;虽然我还不知道具体该怎么做，;Aunque todavía no sé exactamente cómo hacerlo,;Although I don't know exactly how to go about it yet,;아직은 어떻게 해야 할지 정확히 알지 못하지만,;Aunque todavía no sé exactamente cómo hacerlo,;まだ具体的にどうすればいいのかわからないけど、;Bár még nem tudom pontosan, hogyan kezdjek hozzá,
2116723631;"CStoryScene ""dlc\dlcsted\data\scenes\sted_04a_ask_yen.w2scene""";Line text;YENN_STED_2116723631;;eu acho que precisaremos de um objeto que liga você com a falecida.;Myślę, że będzie nam potrzebny przedmiot, który zwiąże ciebie i zmarłą;Я думаю, что нам понадобится предмет, который связывал бы покойницу и тебя.;أعتقد أننا سنحتاج إلى كائن يربط بينك وبين المتوفى.;Sanırım merhumla seni bağlayacak bir nesneye ihtiyacımız olacak.;我想我们需要一件能把死者和你联系在一起的东西。;Myślę, że będzie nam potrzebny przedmiot, który zwiąże ciebie i zmarłą;Penso che avrai bisogno di un oggetto che possa collegare te e il defunto.;je pense qu'il faudra un objet qui serait susceptible de vous lier, la défunte et toi.;denke ich, dass wir ein Objekt brauchen, das die Verstorbene und dich verbindet.;我认为你需要一个可以将你和死者联系起来的物体。;Creo que necesitarás un objeto que pueda vincularte a ti y al difunto.;I think that we will need an object that would bind the deceased and you.;내 생각엔 당신과 고인을 연결할 수 있는 물건이 필요할 것 같아요.;Creo que necesitarás un objeto que pueda vincularte a ti y al difunto.;故人とあなたを結びつける物が必要になると思う。;Azt hiszem, szüksége lesz egy tárgyra, amely összekötheti Önt és az elhunytat.
2116723632;"CStoryScene ""dlc\dlcsted\data\scenes\sted_04a_ask_yen.w2scene""";Line text;YENN_STED_2116723632;;Aquela Pérola que você deu pra ela pode ser interessante…;Ta perła, którą jej dałeś, może nam pomóc…;Та жемчужина, которую ты дал ей, могла бы пригодиться…;تلك اللؤلؤة التي قدمتها لها قد تكون ممتعة ...;Ona verdiğin inci ilginç olabilir...;你给她的珍珠可能会很有趣…;Ta perła, którą jej dałeś, może nam pomóc…;Quella perla che gli hai regalato potrebbe essere interessante...;Cette de perle que tu lui avais offerte pourrait être intéressante...;Diese Perle, die du ihr gegeben hast, könnte funktionieren...;你送给他的那颗珍珠可能很有趣......;Esa perla que le diste podría ser interesante...;That pearl that you gave her might be interesting…;당신이 그 사람에게 준 그 진주는 흥미로울 수도 있어요...;Esa perla que le diste podría ser interesante...;あなたが彼女にあげた真珠がいいかもしれない...。;Érdekes lehet az a gyöngy, amit adtál neki...
2116723633;"CStoryScene ""dlc\dlcsted\data\scenes\sted_04a_ask_yen.w2scene""";Line text;YENN_STED_2116723633;;Eu ouvi que o Duque de Bremerwoord e sua companheira Sh'eenaz,;Słyszałam, że książę Bremerwood i jego towarzyszka Sh'eenaz,;Я слышала, что князь Бремервоордский и его спутница Шъееназ,;سمعت أن دوق بريميرود ورفيقها شايناز ،;Bremerwood Dükü ve arkadaşı Sh'eenaz'ın,;我听说过布利姆巫德公爵和他的同伴希恩娜兹，;Słyszałam, że książę Bremerwood i jego towarzyszka Sh'eenaz,;Ho sentito che il Duca di Bremerwoord e il suo compagno Sh'eenaz,;J'ai ouï-dire que le duc de Bremerwoord, et sa compagne Sh'eenaz,;Ich habe gehört, dass der Herzog von Bremerwood und seine Gefährtin Sh'eenaz;我听说布雷默伍德公爵和他的同伴谢恩娜兹;He oído que el duque de Bremerwoord y su compañero Sh'eenaz,;I have heard that the Duke of Bremerwood and her companion Sh'eenaz,;브레머우드 공작과 그의 동료 쉬나즈가;He oído que el duque de Bremerwoord y su compañero Sh'eenaz,;ブレメルヴルド公爵とそのお供のシーナズについて耳にしたのだけれど、;Azt hallottam, hogy Bremerwood hercege és társa, Sh'eenaz,
2116723634;"CStoryScene ""dlc\dlcsted\data\scenes\sted_04a_ask_yen.w2scene""";Line text;YENN_STED_2116723634;;estão atualmente em Novigrad, na Ilha do Templo.;obecnie przebywają w Novigradzie na Wyspie Świątynnej.;в настоящее время находятся в Новиграде в районе Храмового Острова.;يقيمون حاليًا في نوفيغراد على جزيرة المعبد.;şu anda Novigrad'da, Temple Isle'da kalıyor.;他们目前住在诺维格瑞地神庙岛。;obecnie przebywają w Novigradzie na Wyspie Świątynnej.;risiedono attualmente a Cittanova, nel quartiere dell'Isola del Tempio.;séjournent actuellement à Novigrad dans le quartier de l'île du Temple.;sich derzeit in Novigrad auf der Tempelinsel aufhalten.;目前住在圣殿岛区的诺维格勒。;Actualmente se encuentran en Novigrad, en el distrito de Temple Island.;are currently staying in Novigrad on the Temple Isle.;현재 Temple Island 지역의 Novigrad에 머물고 있습니다.;Actualmente se encuentran en Novigrad, en el distrito de Temple Island.;今ノヴィグラドの聖堂島に滞在しているそうよ。;jelenleg Novigradban tartózkodnak a Temple Island kerületben.
2116723635;"CStoryScene ""dlc\dlcsted\data\scenes\sted_04a_ask_yen.w2scene""";Line text;YENN_STED_2116723635;;Me parece que esse pode ser um bom ponto de partida para descobrir como pôr suas mãos em uma dessas pérolas.;Myślę, że może to być dobry punkt wyjścia, aby dowiedzieć się, jak zdobyć jedną z tych pereł.;Мне кажется, что это могло бы стать зацепкой, чтобы узнать, как заполучить одну из тех жемчужин.;يبدو لي أن هذا قد يكون نقطة انطلاق جيدة لاكتشاف كيفية وضع يديك على إحدى هذه اللآلئ.;Bana öyle geliyor ki bu incilerden birini nasıl alacağını öğrenmek için iyi bir başlangıç ​​noktası olabilir.;在我看来，这可能是一个很好的起点，看看如何能得到一颗珍珠。;Myślę, że może to być dobry punkt wyjścia, aby dowiedzieć się, jak zdobyć jedną z tych pereł.;Mi sembra che questo possa essere un buon punto di partenza per come mettere le mani su uno di questi gioiellini.;Il me semble que ce pourrait être un bon point de départ pour savoir comment mettre la main sur une de ces perles.;Es scheint mir, dass dies ein guter Ausgangspunkt sein könnte, um herauszufinden, wie man eine dieser Perlen in die Hände bekommt.;在我看来，这可能是如何获得其中一颗宝石的一个很好的起点。;Me parece que este podría ser un buen punto de partida sobre cómo conseguir una de estas joyas.;It seems to me that this could be a good starting point to find out how to get your hands on one of these pearls.;내 생각에는 이것이 이 보석 중 하나를 손에 넣는 방법에 대한 좋은 출발점이 될 수 있을 것 같습니다.;Me parece que este podría ser un buen punto de partida sobre cómo conseguir una de estas joyas.;その真珠を手に入れるにはどうしたらいいのか、その手がかりになるかもしれないわ。;Számomra úgy tűnik, hogy ez jó kiindulópont lehet ahhoz, hogy miként vegyük kézbe ezeket a drágaköveket.
2116723640;"CStoryScene ""dlc\dlcsted\data\scenes\sted_04a_ask_yen.w2scene""";Line text;GRLT_STED_2116723640;;Dandelion e Essi, eram velhos amigos.;Jaskier i Essi byli długoletnimi przyjaciółmi.;Лютик и Эсси долгое время были друзьями.;كان الهندباء وإيسي صديقين قدامى.;Dandelion ve Essi uzun zamandır arkadaşlardı.;丹德里恩和艾希是多年的朋友。;Jaskier i Essi byli długoletnimi przyjaciółmi.;Jaskier ed Essi erano amici da molto tempo.;Jaskier et Essi étaient amis de longue date.;Rittersporn und Essi waren alte Freunde.;贾斯基尔和埃西是很长时间的朋友。;Jaskier y Essi fueron amigos durante mucho tiempo.;Dandelion and Essi, were longtime friends.;Jaskier와 Essi는 오랫동안 친구였습니다.;Jaskier y Essi fueron amigos durante mucho tiempo.;ダンディリオンとエッシ、彼らは長年の友人だった。;Jaskier és Essi sokáig barátok voltak.
2116723641;"CStoryScene ""dlc\dlcsted\data\scenes\sted_04a_ask_yen.w2scene""";Line text;YENN_STED_2116723641;;Eu não consigo imaginar o Dandelion sendo apenas amigo com uma mulher.;Nie wyobrażam sobie, żeby Jaskier przyjaźnił się z dziewczyną.;Я не могу представить, чтобы Лютик был просто другом для девушки.;لا أتخيل أن الهندباء كانت مجرد أصدقاء مع فتاة.;Dandelion'ın bir kızla sadece arkadaş olduğunu hayal edemiyorum.;我无法想象丹德里恩可以只和一个女孩做朋友。;Nie wyobrażam sobie, żeby Jaskier przyjaźnił się z dziewczyną.;Faccio fatica a immaginare che Jaskier sia semplicemente amico di una ragazza.;J'ai du mal à imaginer Jaskier être simplement ami avec une fille.;Ich kann mir nicht vorstellen, dass Rittersporn bloß befreundet war mit einer Dame..;我很难想象贾斯基尔只是和一个女孩做朋友。;Me cuesta imaginar a Jaskier simplemente siendo amigo de una chica.;I can't imagine Dandelion just being friends with a girl.;나는 Jaskier가 단지 여자와 친구가 되는 것을 상상하기가 어렵습니다.;Me cuesta imaginar a Jaskier simplemente siendo amigo de una chica.;ダンディリオンが女の子とただのお友達になるなんて想像できないわ。;Nehezen tudom elképzelni, hogy Jaskier csak barátkozik egy lánnyal.
